Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Raheem Sterling,engENG,"FW,MF",Arsenal,30-117,1994,12,4,310,3.4,0,1,1,0,0,0,1,0,1.0,1.0,0.3,1.3,18,14,57,0.00,0.29,0.29,0.00,0.29,0.30,0.08,0.38,0.30,0.38,Matches
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-216,1999,15,1,246,2.7,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.4,11,4,14,0.37,0.00,0.37,0.37,0.37,0.34,0.15,0.49,0.34,0.49,Matches
Rasmus Højlund,dkDEN,FW,Manchester Utd,22-059,2003,25,17,"1,479",16.4,3,0,3,3,0,0,2,0,3.0,3.0,1.2,4.2,23,14,76,0.18,0.00,0.18,0.18,0.18,0.18,0.07,0.25,0.18,0.25,Matches
Rayan Aït-Nouri,dzALG,DF,Wolves,23-302,2001,29,29,"2,462",27.4,3,5,8,3,0,0,6,1,1.9,1.9,2.8,4.7,64,94,140,0.11,0.18,0.29,0.11,0.29,0.07,0.10,0.17,0.07,0.17,Matches
Raúl Jiménez,mxMEX,FW,Fulham,33-334,1991,30,24,"1,912",21.2,10,3,13,7,3,3,3,0,10.4,8.1,2.8,10.8,30,45,107,0.47,0.14,0.61,0.33,0.47,0.49,0.13,0.62,0.38,0.51,Matches
Reece James,engENG,"DF,MF",Chelsea,25-117,1999,12,8,690,7.7,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,5,42,8,0.13,0.00,0.13,0.13,0.13,0.02,0.04,0.06,0.02,0.06,Matches
Reiss Nelson,engENG,FW,Fulham,25-115,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.20,0.18,0.39,0.20,0.39,Matches
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-249,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Ricardo Pereira,ptPOR,"DF,MF",Leicester City,31-180,1993,4,2,168,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,7,4,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Riccardo Calafiori,itITA,DF,Arsenal,22-320,2002,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches
Richarlison,brBRA,FW,Tottenham,27-329,1997,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Matches
Rico Lewis,engENG,"DF,MF",Manchester City,20-134,2004,24,19,"1,703",18.9,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,97,63,0.05,0.11,0.16,0.05,0.16,0.07,0.02,0.09,0.07,0.09,Matches
